********************************************************************************
LOGGING TIME: 20200927_150409
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MR, 1, 1602022801512
MM, 780, 1046, 8
MM, 780, 1046, 8
MM, 782, 1046, 256
MM, 790, 1046, 8
MM, 802, 1047, 8
MM, 817, 1049, 8
MM, 837, 1049, 8
MM, 855, 1049, 0
MM, 876, 1048, 8
MM, 894, 1047, 8
MM, 915, 1045, 8
MM, 933, 1044, 8
MM, 948, 1042, 9
MM, 962, 1040, 1
MM, 975, 1038, 8
MM, 989, 1037, 8
MM, 999, 1036, 8
MM, 1007, 1036, 8
MM, 1014, 1035, 8
MM, 1020, 1035, 8
MM, 1025, 1035, 8
MM, 1028, 1035, 0
MM, 1031, 1035, 8
MM, 1033, 1035, 8
MM, 1035, 1035, 8
MM, 1036, 1035, 8
MM, 1037, 1035, 16
MM, 1037, 1035, 16
MM, 1035, 1035, 8
MM, 1032, 1035, 8
MM, 1025, 1036, 8
MM, 1018, 1037, 8
MM, 1010, 1037, 8
MM, 1001, 1038, 8
MM, 995, 1038, 0
MM, 986, 1039, 8
MM, 978, 1039, 8
MM, 968, 1039, 8
MM, 956, 1039, 8
MM, 944, 1038, 8
MM, 934, 1038, 8
MM, 922, 1036, 8
MM, 912, 1034, 0
MM, 900, 1032, 8
MM, 888, 1031, 8
MM, 873, 1028, 8
MM, 858, 1026, 8
MM, 843, 1023, 8
MM, 828, 1021, 8
MM, 813, 1020, 8
MM, 801, 1020, 8
MM, 789, 1020, 0
MM, 784, 1019, 14
MM, 775, 1019, 1
MM, 767, 1019, 8
MM, 762, 1019, 8
MM, 756, 1020, 8
MM, 751, 1021, 8
MM, 745, 1023, 8
MM, 740, 1024, 8
MM, 733, 1025, 0
MM, 728, 1026, 8
MM, 720, 1028, 8
MM, 713, 1029, 8
MM, 708, 1031, 8
MM, 703, 1032, 8
MM, 695, 1034, 8
MM, 693, 1034, 8
MM, 688, 1035, 0
MM, 682, 1036, 8
MM, 678, 1036, 8
MM, 675, 1037, 8
MM, 672, 1037, 8
MM, 668, 1037, 8
MM, 663, 1037, 8
MM, 659, 1037, 8
MM, 656, 1037, 8
MM, 653, 1037, 0
MM, 649, 1037, 9
MM, 647, 1037, 8
MM, 644, 1037, 8
MM, 642, 1037, 8
MM, 641, 1037, 8
MM, 639, 1037, 8
MM, 637, 1036, 0
MM, 637, 1036, 8
MM, 637, 1036, 17
MM, 636, 1036, 8
MM, 636, 1036, 31
MM, 637, 1036, 16
MM, 640, 1036, 8
MM, 641, 1036, 8
MM, 645, 1036, 8
MM, 648, 1037, 0
MM, 653, 1038, 16
MM, 660, 1040, 0
MM, 666, 1042, 8
MM, 671, 1044, 8
MM, 677, 1046, 10
MM, 681, 1047, 8
MM, 683, 1048, 0
MM, 684, 1048, 8
MM, 686, 1048, 8
MM, 687, 1048, 8
MM, 687, 1048, 8
MM, 688, 1048, 24
MM, 689, 1048, 8
MM, 689, 1048, 16
MM, 690, 1048, 25
MM, 691, 1049, 7
MM, 692, 1049, 16
MM, 692, 1049, 48
MM, 693, 1049, 16
MM, 694, 1049, 16
MM, 694, 1049, 24
MM, 694, 1050, 13
MM, 701, 1042, 1161
MM, 710, 1031, 0
MM, 721, 1023, 8
MM, 730, 1015, 8
MM, 740, 1009, 9
MM, 747, 1005, 8
MM, 754, 1000, 8
MM, 760, 998, 7
MM, 767, 995, 8
MM, 771, 993, 0
MM, 776, 990, 8
MM, 777, 989, 8
MM, 779, 988, 9
MM, 781, 987, 8
MM, 782, 987, 23
MM, 782, 986, 17
MM, 782, 986, 32
MM, 782, 985, 16
MM, 783, 985, 0
MM, 784, 985, 8
MM, 784, 985, 8
MM, 785, 984, 8
MM, 786, 984, 8
MM, 787, 984, 8
MM, 788, 983, 8
MM, 789, 983, 0
MM, 790, 982, 8
MM, 790, 982, 8
MM, 791, 982, 8
MM, 792, 982, 8
MM, 792, 982, 8
MM, 792, 981, 8
MM, 793, 981, 8
MM, 794, 981, 8
MP, 1, 160
MR, 1, 217
MC, 1, 0
MM, 803, 970, 338
MM, 824, 945, 7
MM, 847, 914, 8
MM, 868, 880, 0
MM, 887, 844, 8
MM, 906, 805, 8
MM, 922, 763, 10
MM, 936, 728, 8
MM, 955, 676, 8
MM, 973, 631, 8
MM, 993, 592, 0
MM, 1007, 560, 8
MM, 1018, 535, 8
MM, 1028, 512, 8
MM, 1035, 497, 8
MM, 1042, 486, 8
MM, 1046, 482, 8
MM, 1048, 477, 8
MM, 1050, 476, 8
MM, 1051, 475, 0
MM, 1051, 474, 8
MM, 1051, 474, 16
MM, 1062, 466, 200
MM, 1077, 454, 8
MM, 1091, 444, 8
MM, 1100, 435, 8
MM, 1111, 428, 8
MM, 1119, 420, 8
MM, 1124, 414, 8
MM, 1126, 411, 8
MM, 1127, 409, 8
MM, 1127, 407, 0
MM, 1127, 405, 8
MM, 1127, 405, 8
MM, 1127, 403, 8
MM, 1127, 402, 8
MM, 1127, 401, 8
MM, 1126, 401, 16
MM, 1126, 400, 0
MM, 1125, 400, 8
MM, 1125, 399, 8
MM, 1124, 399, 16
MM, 1123, 399, 16
MM, 1122, 399, 16
MM, 1122, 399, 16
MM, 1121, 399, 24
MM, 1120, 399, 8
MM, 1120, 399, 8
MM, 1120, 399, 0
MM, 1119, 399, 8
MM, 1118, 400, 8
MM, 1117, 400, 8
MM, 1117, 401, 8
MM, 1115, 402, 8
MM, 1113, 404, 8
MM, 1113, 404, 0
MM, 1111, 406, 8
MM, 1109, 408, 8
MM, 1109, 409, 8
MM, 1108, 409, 8
MM, 1107, 410, 8
MM, 1107, 410, 8
MM, 1106, 411, 8
MM, 1106, 411, 0
MM, 1105, 411, 8
MM, 1105, 412, 8
MM, 1104, 412, 16
MM, 1104, 413, 8
MM, 1103, 414, 8
MM, 1102, 414, 8
MM, 1102, 415, 8
MM, 1101, 416, 8
MM, 1100, 416, 0
MM, 1099, 417, 8
MM, 1099, 418, 8
MM, 1097, 419, 8
MM, 1096, 420, 8
MM, 1096, 420, 8
MM, 1095, 421, 8
MM, 1093, 422, 8
MM, 1093, 422, 0
MM, 1092, 423, 16
MM, 1091, 423, 8
MM, 1091, 424, 8
MM, 1090, 424, 8
MM, 1089, 424, 8
MM, 1089, 425, 0
MM, 1088, 426, 8
MM, 1088, 426, 8
MM, 1087, 426, 8
MM, 1086, 427, 8
MM, 1086, 427, 8
MM, 1085, 427, 8
MM, 1085, 428, 8
MM, 1084, 429, 25
MM, 1083, 429, 23
MM, 1083, 429, 25
MM, 1083, 429, 8
MM, 1082, 430, 16
MM, 1081, 431, 16
MM, 1081, 432, 8
MP, 1, 184
MR, 1, 141
MC, 1, 0
MP, 1, 0
MR, 1, 217
MC, 2, 0
MM, 1085, 439, 9475
MM, 1092, 448, 8
MM, 1098, 457, 8
MM, 1105, 466, 8
MM, 1110, 475, 8
MM, 1116, 481, 8
MM, 1121, 486, 8
MM, 1123, 489, 0
MM, 1124, 490, 8
MM, 1125, 492, 8
MM, 1126, 493, 8
MM, 1126, 494, 16
MM, 1126, 494, 16
MM, 1126, 495, 16
MM, 1126, 496, 16
MM, 1126, 496, 98
MM, 1126, 495, 8
MM, 1126, 494, 8
MM, 1125, 490, 8
MM, 1124, 486, 8
MM, 1124, 481, 0
MM, 1124, 474, 8
MM, 1125, 467, 8
MM, 1126, 459, 8
MM, 1128, 451, 8
MM, 1129, 444, 8
MM, 1133, 439, 8
MM, 1134, 436, 8
MM, 1135, 434, 0
MM, 1135, 432, 8
MM, 1136, 431, 8
MM, 1136, 430, 8
MM, 1136, 429, 16
MM, 1136, 429, 24
MM, 1136, 428, 8
MM, 1136, 428, 40
MM, 1136, 427, 8
MM, 1136, 427, 8
MM, 1137, 427, 8
MM, 1137, 426, 8
MM, 1138, 426, 16
MM, 1138, 425, 8
MM, 1138, 425, 8
MM, 1138, 424, 8
MM, 1138, 445, 410
MM, 1138, 482, 9
MM, 1138, 520, 8
MM, 1137, 554, 7
MM, 1137, 588, 8
MM, 1135, 627, 0
MM, 1133, 668, 8
MM, 1131, 713, 8
MM, 1129, 757, 8
MM, 1127, 802, 8
MM, 1120, 851, 9
MM, 1114, 894, 7
MM, 1110, 933, 8
MM, 1104, 962, 0
MM, 1096, 996, 8
MM, 1091, 1019, 8
MM, 1086, 1037, 8
MM, 1081, 1052, 8
MM, 1079, 1064, 8
MM, 1073, 1075, 9
MM, 1071, 1080, 7
MM, 1069, 1082, 0
MM, 1067, 1081, 8
MM, 1066, 1080, 9
MM, 1066, 1079, 17
MM, 1065, 1079, 8
MM, 1065, 1079, 24
MM, 1065, 1079, 23
MM, 1065, 1078, 16
MM, 1065, 1078, 8
MM, 1065, 1077, 25
MM, 1064, 1077, 56
MM, 1064, 1074, 273
MM, 1065, 1073, 8
MM, 1066, 1072, 8
MM, 1067, 1070, 8
MM, 1067, 1070, 8
MM, 1068, 1069, 8
MM, 1069, 1068, 0
MM, 1069, 1067, 8
MM, 1069, 1067, 8
MM, 1069, 1066, 8
MM, 1070, 1065, 8
MM, 1071, 1065, 8
MM, 1072, 1064, 16
MM, 1072, 1063, 16
MM, 1073, 1062, 16
MP, 1, 1151
MR, 1, 217
MC, 1, 0
MM, 1081, 1057, 571
MM, 1097, 1047, 8
MM, 1118, 1033, 8
MM, 1134, 1017, 8
MM, 1152, 1002, 8
MM, 1163, 990, 0
MM, 1178, 978, 8
MM, 1189, 966, 8
MM, 1204, 951, 8
MM, 1222, 929, 8
MM, 1236, 908, 8
MM, 1248, 886, 8
MM, 1258, 863, 8
MM, 1270, 835, 0
MM, 1279, 804, 8
MM, 1287, 771, 8
MM, 1291, 735, 8
MM, 1291, 698, 8
MM, 1288, 665, 8
MM, 1281, 632, 8
MM, 1270, 598, 8
MM, 1258, 575, 0
MM, 1239, 550, 8
MM, 1222, 538, 8
MM, 1194, 528, 8
MM, 1167, 521, 8
MM, 1143, 521, 8
MM, 1115, 522, 8
MM, 1093, 523, 8
MM, 1072, 532, 8
MM, 1056, 539, 0
MM, 1038, 550, 8
MM, 1018, 561, 8
MM, 993, 582, 8
MM, 968, 604, 8
MM, 942, 627, 8
MM, 918, 653, 8
MM, 892, 679, 8
MM, 871, 704, 0
MM, 849, 732, 14
MP, 1, 490
MR, 1, 222
MC, 1, 0
MM, 876, 722, 1077
MM, 901, 713, 10
MM, 919, 705, 6
